Código do Termo (Tab 22 - TUSS);Termo (Tab 22 - TUSS)
40304671;Anticorpo antimieloperoxidase, MPO - pesquisa e/ou dosagem
40304680;Fator VII - pesquisa e/ou dosagem
40304698;Fator XIII, dosagem, teste funcional
40304701;Imunofenotipagem para doença residual mínima (*)
40304710;Imunofenotipagem para hemoglobinúria paroxistica noturna (*)
40304728;Imunofenotipagem para leucemias agudas ou sindrome mielodisplásica (*)
40304736;Imunofenotipagem para linfoma não hodgkin / sindrome linfoproliferativa crônica (*)
40304744;Imunofenotipagem para perfil imune (*)
40304752;Fator IX, dosagem do inibidor
40304760;Inibidor dos fatores da hemostasia, triagem
40304779;Produtos de degradação da fibrina, quantitativo - pesquisa e/ou dosagem
40304787;Proteína S livre, dosagem
40304809;Consumo de protrombina - pesquisa e/ou dosagem
40304817;Enzimas eritrocitárias, rastreio para deficiência
40304825;Esplenograma (citologia)
40304833;Hemoglobina instabilidade a 37 graus C - pesquisa e/ou dosagem
40304841;Hemoglobina, solubilidade (HbS e HbD) - pesquisa e/ou dosagem
40304850;Hemoglobinopatia - triagem (El.HB., hemoglob. fetal. reticulócitos, corpos de H, T. falcização hemácias, resist. osmótica, termo estabilidade)
40304868;Estreptozima - pesquisa e/ou dosagem
40304876;Sulfo-hemoglobina, determinação da
40304884;Coombs indireto
40304892;Mielograma
40304906;Dímero D - pesquisa e/ou dosagem
40304914;Tempo de sangramento (Duke) - determinação
40304922;Coagulograma (TS, TC, prova do laço, retração do coágulo, contagem de plaquetas, tempo de protombina, tempo de tromboplastina, parcial ativado) - pesquisa e/ou dosagem
40304930;Baço, exame de esfregaço de aspirado
40304949;Linfonodo, exame de esfregaço de aspirado
40304957;Adenograma (inclui hemograma)
40304965;Alfa 1 anti tripsina, fenotipagem
40304973;Alfa talassemia anal molecular sangue
40304981;Analisador da função plaquetaria PFA-100
40305015;1,25-dihidroxi vitamina D - pesquisa e/ou dosagem
40305040;17-cetogênicos (17-CGS) - pesquisa e/ou dosagem
40305058;17-cetogênicos cromatografia - pesquisa e/ou dosagem
40305066;17-cetosteróides (17-CTS) - cromatografia - pesquisa e/ou dosagem
40305074;17-cetosteróides relação alfa/beta - pesquisa e/ou dosagem
40305082;17-cetosteróides totais (17-CTS) - pesquisa e/ou dosagem
40305090;17-hidroxipregnenolona - pesquisa e/ou dosagem
40305112;Ácido 5 hidróxi indol acético, dosagem na urina
40305120;Ácido homo vanílico - pesquisa e/ou dosagem
40305163;AMP cíclico - pesquisa e/ou dosagem
40305210;Cortisol livre - pesquisa e/ou dosagem
40305228;Curva glicêmica (6 dosagens) - pesquisa e/ou dosagem
40305236;Curva insulínica  (6 dosagens) - pesquisa e/ou dosagem
40305279;Dosagem de receptor de progesterona ou de estrogênio
40305287;Enzima conversora da angiotensina (ECA) - pesquisa e/ou dosagem
40305295;Eritropoietina - pesquisa e/ou dosagem
40305341;Gad-Ab-antidescarboxilase do ácido - pesquisa e/ou dosagem
40305368;Glucagon, dosagem
40305384;Hormônio antidiurético (vasopressina) - pesquisa e/ou dosagem
40305406;"IGF BP3 (proteína ligadora dos fatores de crescimento ""insulin-like"") - pesquisa e/ou dosagem"
40305422;Leptina - pesquisa e/ou dosagem
40305449;N-telopeptídeo - pesquisa e/ou dosagem
40305465;Paratormônio - PTH ou fração (cada) - pesquisa e/ou dosagem
40305490;Piridinolina - pesquisa e/ou dosagem
40305503;Pregnandiol - pesquisa e/ou dosagem
40305511;Pregnantriol - pesquisa e/ou dosagem
40305546;Prova do LH-Rh, dosagem do FSH sem fornecimento de medicamento (cada)
40305554;Prova do LH-Rh, dosagem do LH sem fornecimento de medicamento (cada)
40305562;Prova do TRH-HPR, dosagem do HPR sem fornecimento do material (cada)
40305570;Prova do TRH-TSH, dosagem do TSH sem fornecimento do material (cada)
40305589;Prova para diabete insípido (restrição hídrica  NaCL 3% vasopressina)
40305597;Estrogênios totais (fenolesteróides) - pesquisa e/ou dosagem
40305600;Iodo protéico (PBI) - pesquisa e/ou dosagem
40305619;Lactogênico placentário hormônio - pesquisa e/ou dosagem
40305627;Provas de função tireoideana (T3, T4, índices e TSH)
40305635;Somatotrófico coriônico (HCS ou PHL) - pesquisa e/ou dosagem
40305740;11-desoxicorticosterona - pesquisa e/ou dosagem
40305759;Hormônio gonodotrofico corionico qualitativo (HCG-Beta-HCG) - pesquisa
40305767;Hormônio gonodotrofico corionico quantitativo (HCG-Beta-HCG) - dosagem
40305775;Macroprolactina - pesquisa e/ou dosagem
40305783;17-hidroxicorticosteróides (17-OHS) - pesquisa e/ou dosagem
40306011;Adenovírus, IgG - pesquisa e/ou dosagem
40306020;Adenovírus, IgM - pesquisa e/ou dosagem
40306046;Anticandida - IgG e IgM (cada) - pesquisa e/ou dosagem
40306054;Anti-actina - pesquisa e/ou dosagem
40306062;Anti-DNA - pesquisa e/ou dosagem
40306070;Anti-JO1 - pesquisa e/ou dosagem
40306089;Anti-LA/SSB - pesquisa e/ou dosagem
40306097;Anti-LKM-1 - pesquisa e/ou dosagem
40306100;Anti-RNP - pesquisa e/ou dosagem
40306119;Anti-Ro/SSA - pesquisa e/ou dosagem
40306127;Anti-Sm - pesquisa e/ou dosagem
40306135;Anticardiolipina - IgA - pesquisa e/ou dosagem
40306143;Anticardiolipina - IgG - pesquisa e/ou dosagem
40306151;Anticardiolipina - IgM - pesquisa e/ou dosagem
40306160;Anticentrômero - pesquisa e/ou dosagem
40306178;Anticorpo anti-DNAse B - pesquisa e/ou dosagem
40306186;Anticorpo anti-hormônio do crescimento - pesquisa e/ou dosagem
40306194;Anticorpo antivírus da hepatite E (total) - pesquisa e/ou dosagem
40306208;Anticorpos anti-ilhota de langherans - pesquisa e/ou dosagem
40306216;Anticorpos anti-influenza A,  IgG - pesquisa e/ou dosagem
40306224;Anticorpos anti-influenza A,  IgM - pesquisa e/ou dosagem
40306232;Anticorpos anti-influenza B, IgG - pesquisa e/ou dosagem
40306240;Anticorpos anti-influenza B, IgM - pesquisa e/ou dosagem
40306259;Anticorpos antiendomisio - IgG, IgM, IgA (cada) - pesquisa e/ou dosagem
40306267;Anticorpos naturais - isoaglutininas, pesquisas
40306275;Anticorpos naturais - isoaglutininas, titulagem
40306283;Anticortex supra-renal - pesquisa e/ou dosagem
40306291;Antiescleroderma (SCL 70) - pesquisa e/ou dosagem
40306305;Antigliadina (glúten) - IgA - pesquisa e/ou dosagem
40306313;Antigliadina (glúten) - IgG - pesquisa e/ou dosagem
40306321;Antigliadina (glúten) - IgM - pesquisa e/ou dosagem
40306330;Antimembrana basal - pesquisa e/ou dosagem
40306348;Antimicrossomal - pesquisa e/ou dosagem
40306356;Antimitocondria - pesquisa e/ou dosagem
40306364;Antimitocondria, M2 - pesquisa e/ou dosagem
40306372;Antimúsculo cardíaco - pesquisa e/ou dosagem
40306380;Antimúsculo estriado - pesquisa e/ou dosagem
40306399;Antimúsculo liso - pesquisa e/ou dosagem
40306402;Antineutrófilos (anca)  C - pesquisa e/ou dosagem
40306410;Antineutrófilos (anca)  P - pesquisa e/ou dosagem
40306429;Antiparietal - pesquisa e/ou dosagem
40306437;Antiperoxidase tireoideana - pesquisa e/ou dosagem
40306445;Aslo - pesquisa e/ou dosagem
40306453;Aspergilus, reação sorológica
40306461;Avidez de IgG para toxoplasmose, citomegalia, rubéloa, EB e outros, cada - pesquisa e/ou dosagem
40306470;Beta-2-microglobulina - pesquisa e/ou dosagem
40306488;Biotinidase atividade da, qualitativo - pesquisa e/ou dosagem
40306496;Blastomicose, reação sorológica
40306500;Brucela - IgG - pesquisa e/ou dosagem
40306518;Brucela - IgM - pesquisa e/ou dosagem
40306526;Brucela, prova rápida
40306534;C1q - pesquisa e/ou dosagem
40306542;C3 proativador - pesquisa e/ou dosagem
40306550;C3A (fator B) - pesquisa e/ou dosagem
40306569;CA 50 - pesquisa e/ou dosagem
40306577;CA-242 - pesquisa e/ou dosagem
40306585;CA-27-29 - pesquisa e/ou dosagem
40306593;Caxumba, IgG - pesquisa e/ou dosagem
40306607;Caxumba, IgM - pesquisa e/ou dosagem
40306615;Chagas IgG - pesquisa e/ou dosagem
40306623;Chagas IgM - pesquisa e/ou dosagem
40306631;Chlamydia - IgG - pesquisa e/ou dosagem
40306640;Chlamydia - IgM - pesquisa e/ou dosagem
40306658;Cisticercose, AC - pesquisa e/ou dosagem
40306666;Citomegalovírus IgG - pesquisa e/ou dosagem
40306674;Citomegalovírus IgM - pesquisa e/ou dosagem
40306682;Clostridium difficile, toxina A - pesquisa e/ou dosagem
40306690;Complemento C2 - pesquisa e/ou dosagem
40306704;Complemento C3 - pesquisa e/ou dosagem
40306712;Complemento C4 - pesquisa e/ou dosagem
40306720;Complemento C5 - pesquisa e/ou dosagem
40306739;Complemento CH-100 - pesquisa e/ou dosagem
40306747;Complemento CH-50 - pesquisa e/ou dosagem
40306755;Crio-aglutinina, globulina, dosagem, cada
40306763;Crio-aglutinina, globulina, pesquisa, cada
40306771;Cross match (prova cruzada de histocompatibilidade para transplante renal)
40306780;"Cultura ou estimulação dos linfócitos ""in vitro"" por concanavalina, PHA ou pokweed"
40306798;Dengue - IgG e IgM (cada) - pesquisa e/ou dosagem
40306801;Echovírus (painel) sorologia para
40306810;Equinococose (Hidatidose), reação sorológica
40306828;Equinococose, IDR - pesquisa e/ou dosagem
40306836;Esporotricose, reação sorológica
40306844;Esporotriquina, IDR - pesquisa e/ou dosagem
40306852;Fator antinúcleo, (FAN) - pesquisa e/ou dosagem
40306860;Fator reumatóide, quantitativo - pesquisa e/ou dosagem
40306879;Filaria sorologia - pesquisa e/ou dosagem
40306887;Genotipagem do sistema HLA
40306895;Giardia, reação sorológica
40306909;Helicobacter pylori - IgA - pesquisa e/ou dosagem
40306917;Helicobacter pylori - IgG - pesquisa e/ou dosagem
40306925;Helicobacter pylori - IgM - pesquisa e/ou dosagem
40306933;Hepatite A - HAV - IgG - pesquisa e/ou dosagem
40306941;Hepatite A - HAV - IgM - pesquisa e/ou dosagem
40306950;Hepatite B - HBCAC - IgG (anti-core IgG ou Acoreg) - pesquisa e/ou dosagem
40306968;Hepatite B - HBCAC - IgM (anti-core IgM ou Acorem) - pesquisa e/ou dosagem
40306976;Hepatite B - HBeAC (anti HBE) - pesquisa e/ou dosagem
40306984;"Hepatite B - HBeAG (antígeno ""E"") - pesquisa e/ou dosagem"
40306992;Hepatite B - HBSAC (anti-antígeno de superfície) - pesquisa e/ou dosagem
40307018;Hepatite B - HBSAG (AU, antígeno austrália) - pesquisa e/ou dosagem
40307026;Hepatite C - anti-HCV - pesquisa e/ou dosagem
40307034;Hepatite C - anti-HCV - IgM - pesquisa e/ou dosagem
40307042;Hepatite C - imunoblot - pesquisa e/ou dosagem
40307050;Hepatite delta, anticorpo IgG - pesquisa e/ou dosagem
40307069;Hepatite delta, anticorpo IgM - pesquisa e/ou dosagem
40307077;Hepatite delta, antígeno - pesquisa e/ou dosagem
40307085;Herpes simples - IgG - pesquisa e/ou dosagem
40307093;Herpes simples - IgM - pesquisa e/ou dosagem
40307107;Herpes zoster - IgG - pesquisa e/ou dosagem
40307115;Herpes zoster - IgM - pesquisa e/ou dosagem
40307123;Hipersensibilidade retardada (intradermo reação IDeR ) candidina, caxumba, estreptoquinase-dornase, PPD, tricofitina, vírus vacinal, outro(s), cada
40307131;Histamina, dosagem
40307140;Histona - pesquisa e/ou dosagem
40307158;Histoplasmose, reação sorológica
40307166;HIV - antígeno P24 - pesquisa e/ou dosagem
40307174;HIV1 ou HIV2, pesquisa de anticorpos
40307182;HIV1+ HIV2, (determinação conjunta), pesquisa de anticorpos
40307190;HLA-DR - pesquisa e/ou dosagem
40307204;HLA-DR+DQ - pesquisa e/ou dosagem
40307212;HTLV1 ou HTLV2 pesquisa de anticorpo (cada)
40307220;IgA - pesquisa e/ou dosagem
40307239;IgA na saliva - pesquisa e/ou dosagem
40307247;IgD - pesquisa e/ou dosagem
40307255;IgE, grupo específico, cada - pesquisa e/ou dosagem
40307263;IgE, por alérgeno (cada) - pesquisa e/ou dosagem
40307271;IgE, total - pesquisa e/ou dosagem
40307280;IgG - pesquisa e/ou dosagem
40307298;IgG, subclasses 1,2,3,4 (cada) - pesquisa e/ou dosagem
40307301;IgM - pesquisa e/ou dosagem
40307310;Imunocomplexos circulantes - pesquisa e/ou dosagem
40307328;Imunocomplexos circulantes, com células Raji - pesquisa e/ou dosagem
40307336;Imunoeletroforese (estudo da gamopatia) - pesquisa e/ou dosagem
40307344;Inibidor de C1 esterase - pesquisa e/ou dosagem
40307352;Isospora, pesquisa de antígeno - pesquisa e/ou dosagem
40307360;Ito (cancro mole), IDeR - pesquisa e/ou dosagem
40307379;Kveim (sarcoidose), IDeR - pesquisa e/ou dosagem
40307387;Legionella - IgG e IgM (cada) - pesquisa e/ou dosagem
40307395;Leishmaniose - IgG e IgM (cada) - pesquisa e/ou dosagem
40307409;Leptospirose - IgG - pesquisa e/ou dosagem
40307417;Leptospirose - IgM - pesquisa e/ou dosagem
40307425;Leptospirose, aglutinação - pesquisa
40307433;"Linfócitos T ""helper"" contagem de (IF com OKT-4) (CD-4+) citometria de fluxo"
40307441;Linfócitos T supressores contagem de (IF com OKT-8) (D-8) citometria de fluxo
40307450;Listeriose, reação sorológica
40307468;Lyme - IgG - pesquisa e/ou dosagem
40307476;Lyme - IgM - pesquisa e/ou dosagem
40307484;Malária - IgG - pesquisa e/ou dosagem
40307492;Malária - IgM - pesquisa e/ou dosagem
40307506;Mantoux, IDeR
40307514;MCA (antígeno cárcino-mamário) - pesquisa e/ou dosagem
40307522;Micoplasma pneumoniae - IgG - pesquisa e/ou dosagem
40307530;Micoplasma pneumoniae - IgM - pesquisa e/ou dosagem
40307565;Mononucleose - Epstein BARR - IgG - pesquisa e/ou dosagem
40307573;Mononucleose, anti-VCA (EBV) IgG - pesquisa e/ou dosagem
40307581;Mononucleose, anti-VCA (EBV) IgM - pesquisa e/ou dosagem
40307590;Montenegro, IDeR
40307603;Outros testes bioquímicos para determinação do risco fetal (cada)
40307611;Parvovírus - IgG, IgM (cada) - pesquisa e/ou dosagem
40307620;Peptídio intestinal vasoativo, dosagem
40307638;PPD (tuberculina), IDeR
40307654;Proteína C, teste imunológico
40307662;Proteína eosinofílica catiônica (ECP) - pesquisa e/ou dosagem
40307689;Reação sorológica para coxsackie, neutralização IgG
40307697;Rubéola - IgG - pesquisa e/ou dosagem
40307700;Rubéola - IgM - pesquisa e/ou dosagem
40307719;Schistosomose - IgG - pesquisa e/ou dosagem
40307727;Schistosomose - IgM - pesquisa e/ou dosagem
40307735;Sífilis - FTA-ABS-IgG - pesquisa
40307743;Sífilis - FTA-ABS-IgM - pesquisa
40307751;Sífilis - TPHA - pesquisa
40307760;Sífilis - VDRL
40307778;Teste de inibição da migração dos linfócitos (para cada antígeno)
40307786;Teste respiratório para H. Pylori
40307794;Toxocara cannis - IgG - pesquisa e/ou dosagem
40307808;Toxocara cannis - IgM - pesquisa e/ou dosagem
40307816;Toxoplasmina, IDeR
40307824;Toxoplasmose IgG - pesquisa e/ou dosagem
40307832;Toxoplasmose IgM - pesquisa e/ou dosagem
40307840;Urease, teste rápido para helicobacter pylori
40307859;Vírus sincicial respiratório - Elisa - IgG - pesquisa e/ou dosagem
40307867;Waaler-Rose (fator reumatóide) - pesquisa e/ou dosagem
40307875;Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem
40307883;Western Blot (anticorpos anti-HTVI ou HTLVII) (cada) - pesquisa e/ou dosagem
40307891;Widal, reação de
40307905;Alérgenos - perfil antigênico (painel C/36 antígenos) - pesquisa e/ou dosagem
40307913;Anti-DMP - pesquisa e/ou dosagem
40307921;Anti-hialuronidase, determinação da
40307930;Antidesoxiribonuclease B, neutralização quantitativa - pesquisa e/ou dosagem
40307948;Antifígado (glomérulo, tub. Renal corte rim de rato), IFI - pesquisa e/ou dosagem
40307956;Antígenos metílicos solúveis do BCG (1 aplicação)
40307964;Chagas, hemoaglutinação
40307972;Chagas (Machado Guerreiro)
40307999;Complemento C3, C4 - turbid. ou nefolométrico C3A - pesquisa e/ou dosagem
40308014;Crioglobulinas, caracterização - imunoeletroforese
40308022;DNCB - teste de contato
40308030;Fator reumatóide, teste do látex (qualitativo) - pesquisa
40308049;Frei (linfogranuloma venéreo), IDeR - pesquisa e/ou dosagem
40308065;Gonococo - hemaglutinação (HA)
40308081;Hidatidose (equinococose) IDi dupla - pesquisa e/ou dosagem
40308090;NBT estimulado
40308120;Sarampo - anticorpos IgG - pesquisa e/ou dosagem
40308138;Sarampo - anticorpos IgM - pesquisa e/ou dosagem
40308154;Toxoplasmose - IgA - pesquisa e/ou dosagem
40308162;Varicela, IgG - pesquisa e/ou dosagem
40308170;Varicela, IgM - pesquisa e/ou dosagem
40308197;Vírus sincicial respiratório - pesquisa direta
40308200;Weil Felix (Ricketsiose), reação de aglutinação
40308219;Anticorpo anti Saccharamyces - ASCA - pesquisa e/ou dosagem
40308235;HER2 dosagem do receptor
40308243;Poliomelite sorologia
40308251;Proteína Amiloide A - pesquisa e/ou dosagem
40308278;Schistosomose, pesquisa
40308286;Sífilis anticorpo total - pesquisa e/ou dosagem
40308294;Sífilis IgM - pesquisa e/ou dosagem
40308308;Amebíase, IgG - pesquisa e/ou dosagem
40308316;Amebíase, IgM - pesquisa e/ou dosagem
40308324;Gonococo - IgG - pesquisa e/ou dosagem
40308332;Gonococo - IgM - pesquisa e/ou dosagem
40308340;Mononucleose, sorologia para (Monoteste ou Paul-Bunnel), cada
40308359;Psitacose - IgG - pesquisa e/ou dosagem
40308367;Psitacose - IgM - pesquisa e/ou dosagem
40308375;Psitacose - IgA - pesquisa e/ou dosagem
40308383;Proteína C reativa, qualitativa - pesquisa
40308391;Proteína C reativa, quantitativa - pesquisa e/ou dosagem
40308405;Aslo, quantitativo - pesquisa e/ou dosagem
40308413;Paracoccidioidomicose, anticorpos totais / IgG - pesquisa e/ou dosagem
40308421;Ameba, pesquisa
40308430;Ameba, pesquisa antígeno nas fezes, Elisa
40308448;Anti 68 KD (Cóclea)
40308456;Anti citosol hepático
40308464;Anti cromatina - IgG
40308472;Anti GM1 - IgG/IgM
40308480;Anti HU (Western Blot)
40308499;Anti KU
40308502;Anti parainfluenza tipo 1,2,3
40308510;Anti PCNA
40308529;Anticorpos antipneumococos
40308537;Anti RI (Western Blot)
40308545;Anti ribossomal P
40308553;Anti transglutaminase tecidual - IgA
40308561;Anti transglutaminase tecidual - IgG
40308570;Anti YO
40308588;Anti YO (PCA1), dosagem líquor
40308596;Anticorpos anti 21 hidroxilase
40308618;Anticorpos anti anexina
40308626;Anticorpos anti antígeno hepático solúvel
40308634;Anticorpos anti coccidióides, soro
40308642;Anticorpos anti colágeno tipo 2
40308650;Anticorpos anti fator intrinseco
40308669;Anticorpos anti febre, qualquer soro
40308677;Anticorpos anti Fibrilarina
40308685;Anticorpos anti fosfatidilserina - IgA/IgG/IgM
40308693;Anticorpos anti granulócitos
40308707;Anticorpos anti Hantavirus
40308723;Anticorpos anti líquor bartonella
40308731;Anticorpos anti líquor gangliosídeo, painel
40308740;Anticorpos anti líquor GM1
40308758;Anticorpos anti MAG
40308766;Anticorpos anti MI-2 auto
40308774;Anticorpos anti Mielina
40308782;Anticorpos anti neuronal nuclear 1 e 2 LCR
40308790;Anticorpos anti pele
40308804;Anticorpos anti peptídeo cíclico citrulinado - IgG
40308812;Anticorpos anti PM1
40308820;Anticorpos anti reticulina
40308839;Anticorpos anti strongilóides
40308847;Anticorpos anti sulfatídeo
40308855;Anticorpos anti vírus herpes  6 líquor - IgG/IgM
40308863;Anticorpos anti vírus herpes 6
40308871;Anticorpos anti vírus rábico
40308880;Anticorpos arbovírus, painel
40308898;Anticorpos Beta 2 glicoproteina I  - IgG/IgM/IgA
40308901;Acetilcolina, anticorpos bloqueador receptor
40308910;Anticorpos contra canal de cálcio regulado por voltagem
40308928;Anticorpos Coxsackie A, outros materiais
40308936;Anticorpos CV2 auto, soro
40308944;Anticorpos Desmogleina tipo 1 e 3
40308952;Anticorpos Fosfatidilcolina - IgG/IgM/IgA
40308960;Anticorpos Gangliosídeos, soro
40308979;Anticorpos Gd1A - IgG
40308987;Anticorpos Gd1A - IgM
40308995;Anticorpos Gd1B - IgG
40309010;Adenosina de aminase (ADA) - pesquisa e/ou dosagem em líquidos orgânicos
40309029;Bioquímica ICR (proteínas + pandy + glicose + cloro) - pesquisa e/ou dosagem em líquidos orgânicos
40309037;Células, contagem total e específica - pesquisa e/ou dosagem em líquidos orgânicos
40309045;Células, pesquisa de células neoplásicas (citologia oncótica) - pesquisa e/ou dosagem em líquidos orgânicos
40309053;Criptococose, cândida, aspérgilus (látex) - pesquisa e/ou dosagem em líquidos orgânicos
40309061;Eletroforese de proteínas no líquor, com concentração - pesquisa e/ou dosagem em líquidos orgânicos
40309070;H. Influenzae, S. Pneumonieae, N. Meningitidis A, B e C W135 (cada) - pesquisa e/ou dosagem em líquidos orgânicos
40309088;Haemophilus influenzae - pesquisa de anticorpos (cada)- pesquisa e/ou dosagem em líquidos orgânicos
40309096;Índice de imunoprodução (eletrof. e IgG em soro e líquor) - pesquisa e/ou dosagem
40309100;LCR ambulatorial rotina (aspectos cor + índice de cor + contagem global e  específica  de leucócitos e  hemácias + citologia  oncótica + proteína + glicose + cloro + eletroforese  com concentração + IgG + reações para neurocisticercose (2) + reações para neuroles (2)).
40309118;LCR hospitalar neurologia (aspectos cor + índices de cor + contagem global e específica de  leucócitos e hemácias + proteína + glicose + cloro + reações para  neurocisticercose (2) + reações para  neurolues (2) + bacterioscopia + cultura + látex para bactérias).
40309126;LCR pronto socorro (aspectos cor + índice  de cor + contagem  global  e  específica  de  leucócitos  e hemácias + proteína + glicose + cloro + lactato + bacterioscopia + cultura + látex para bactérias)
40309134;Pesquisa de bandas oligoclonais por isofocalização - pesquisa e/ou dosagem em líquidos orgânicos
40309142;Proteína mielina básica, anticorpo anti - pesquisa e/ou dosagem em líquidos orgânicos
40309150;Punção cisternal subocciptal com manometria para coleta de líquido cefalorraqueano
40309169;Punção lombar com manometria para coleta de líquido cefalorraqueano
40309177;"Nonne-Apple; reação"
40309185;Takata-Ara, reação
40309193;Babesia microti em líquor
40309207;Coccidióides em líquor
40309215;Líquor cisticercose Western Blot
40309231;Líquor imunofenotipagem T e B
40309240;Líquor índice IgG para citomegalovirus
40309258;Líquor látex para meningite
40309266;Aminoácidos no líquido cefalorraquidiano
40309304;Anticorpo antiespermatozóide - pesquisa e/ou dosagem em líquidos orgânicos
40309312;Espermograma (caracteres físicos, pH, fludificação, motilidade, vitalidade, contagem e morfologia)
40309320;"Espermograma e teste de penetração ""in vitro"", velocidade penetração vertical, colocação  vital, teste de revitalização"
40309401;Clements, teste
40309410;Espectrofotometria de líquido amniótico
40309428;Fosfolipídios (relação lecitina/esfingomielina) - pesquisa e/ou dosagem em líquidos orgânicos
40309436;Maturidade pulmonar fetal - - pesquisa e/ou dosagem em líquidos orgânicos
40309444;Rotina do líquido amniótico-amniograma (citológico espectrofotometria, creatinina e teste de clements)
40309452;Azul de nilo no líquido amniótico
40309509;Cristais com luz polarizada - pesquisa e/ou dosagem em líquidos orgânicos
40309517;Ragócitos, pesquisa
40309525;Rotina líquido sinovial - caracteres físicos, citologia, proteínas, ácido úrico, látex p/ F.R., BACT.
40310019;A fresco, exame
40310035;Antibiograma p/ bacilos álcool-resistentes - drogas de 2 linhas
40310043;Antígenos fúngicos, pesquisa
40310051;B.A.A.R. (Ziehl ou fluorescência, pesquisa direta e após homogeneização) - pesquisa
40310060;Bacterioscopia (Gram, Ziehl, Albert  etc), por lâmina
40310078;Chlamydia, cultura
40310086;Cólera - identificação (sorotipagem incluída)
40310094;Corpúsculos de Donovani, pesquisa direta de
40310108;Criptococo (tinta da China), pesquisa de
40310116;Criptosporidium, pesquisa
40310124;Cultura bacteriana (em diversos materiais biológicos)
40310132;Cultura para bactérias anaeróbicas
40310140;Cultura para fungos
40310159;Cultura para mycobacterium
40310167;Cultura quantitativa de secreções pulmonares, quando necessitar tratamento prévio c/ N.C.A.
40310175;Cultura, fezes: salmonela, shigellae e esc. Coli enteropatogênicas, enteroinvasora (sorol. Incluída) + campylobacter SP. + E. Coli entero-hemorrágica
40310183;Cultura, fezes: salmonella, shigella e escherichia coli enteropatogênicas (sorologia incluída)
40310191;Cultura, herpesvírus ou outro
40310205;Cultura, micoplasma ou ureaplasma
40310213;Cultura, urina com contagem de colônias
40310221;Estreptococos - A, teste rápido
40310230;Fungos, pesquisa de (a fresco lactofenol, tinta da China)
40310248;Hemocultura (por amostra)
40310256;Hemocultura automatizada (por amostra)
40310264;Hemocultura para bactérias anaeróbias (por amostra)
40310272;Hemophilus (bordetella) pertussis - pesquisa
40310280;Hansen, pesquisa de (por material)
40310299;Leptospira (campo escuro após concentração) pesquisa
40310302;Microorganismos - teste de sensibilidade a drogas MIC, por droga testada
40310310;Paracoccidioides, pesquisa de
40310329;Pneumocysti carinii, pesquisa por coloração especial
40310337;Rotavírus, pesquisa, Elisa
40310345;Treponema (campo escuro) - pesquisa
40310353;Vacina autógena
40310361;Citomegalovírus - shell vial - pesquisa
40310370;Microsporídia, pesquisa nas fezes
40310388;Sarcoptes scabei, pesquisa
40310400;Cultura automatizada - MICROBIOLOGIA
40310418;Antibiograma (teste de sensibilidade e antibióticos e quimioterápicos), por bactéria - não automatizado
40310426;Antibiograma automatizado
40310434;Leishmania, pesquisa
40310442;Chlamydia pneumoniae, painel
40310450;CMV para imunofluorescência direta
40310469;Cultura para listeria
40310477;Gardnerella, cultura
40310485;Helicobacter pylori, cultura de biópsia
40310493;Herpes para imunofluorescência direta
40310515;Pesquisa de antígenos bacterianos
40310523;Pesquisa de antígenos entamoeba histolytica
40310531;Poder bactericida (pós administração de antibiótico)
40310540;Protozoários, cultura para
40310558;Streptococcus B hemol cultura qualquer material
40310566;Teste de sensibilidade mycobacterium cepas de bactérias
40310574;Trichomonas, cultura para
40310582;Yersinia enterocolitica
40310590;Antígenos bacterianos / vários materiais
40310604;Antifungigrama
40310612;Chlamydia trachomatis, exame direto para vários materiais
40310620;Cultura, para agentes multirresistentes, vários materiais
40310639;Demodex folliculorum, pesquisa
40310647;Cultura quantitativa queimados (pele)
40310655;Influenza vírus, isolamento
40310663;Lactamase, teste da cepa
40310671;Cultura em leite materno
40310680;Acanthamoeba, pesquisa, vários materiais
40310698;Acanthamoeba, cultura
40310701;Corynebacterium diphiteriae, pesquisa
40310710;Pesquisa de VRE
40310728;Fungos morfologia/bioquímica
40310736;Identificação de bactérias por método sorológico/bioquímico
40311015;Ácido cítrico - pesquisa e/ou dosagem na urina
40311023;Ácido homogentísico - pesquisa e/ou dosagem na urina
40311031;Alcaptonúria  - pesquisa e/ou dosagem na urina
40311040;Cálculos urinários - análise
40311058;Catecolaminas fracionadas - dopamina, epinefrina, norepinefrina (cada) - pesquisa e/ou dosagem na urina
40311066;Cistinúria, pesquisa
40311074;Coproporfirina III - pesquisa e/ou dosagem na urina
40311082;Corpos cetônicos, pesquisa - na urina
40311090;Cromatografia de açúcares - na urina
40311104;Dismorfismo eritrocitário, pesquisa (contraste de fase) - na urina
40311112;Erros inatos do metabolismo baterias de testes químicos de triagem em urina (mínimo de 6 testes)
40311120;Frutosúria, pesquisa
40311139;Galactosúria, pesquisa
40311147;Lipóides, pesquisa - na urina
40311155;Melanina, pesquisa - na urina
40311163;Metanefrinas urinárias, dosagem
40311171;Microalbuminúria
40311180;Pesquisa ou dosagem de um componente urinário
40311198;Porfobilinogênio, pesquisa - na urina
40311201;Proteínas de Bence Jones, pesquisa - na urina
40311210;Rotina de urina (caracteres físicos, elementos anormais e sedimentoscopia)
40311228;Uroporfirinas, dosagem
